Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Full Bath,Bedroom AbvGr,Fireplaces,Garage Cars,SalePrice
31770,6,5,1960,1960,1656,1,3,2,2,215000
11622,5,6,1961,1961,896,1,2,0,1,105000
14267,6,6,1958,1958,1329,1,3,0,1,172000
11160,7,5,1968,1968,2110,2,3,2,2,244000
13830,5,5,1997,1998,1629,2,3,1,2,189900
9978,6,6,1998,1998,1604,2,3,1,2,195500
4920,8,5,2001,2001,1338,2,2,0,2,213500
5005,8,5,1992,1992,1280,2,2,0,2,191500
5389,8,5,1995,1996,1616,2,2,1,2,236500
7500,7,5,1999,1999,1804,2,3,1,2,189000
10000,6,5,1993,1994,1655,2,3,1,2,175900
7980,6,7,1992,2007,1187,2,3,0,2,185000
8402,6,5,1998,1998,1465,2,3,1,2,180400
10176,7,5,1990,1990,1341,1,2,1,2,171500
6820,8,5,1985,1985,1502,1,1,0,2,212000
53504,8,5,2003,2003,3279,3,4,1,3,538000
12134,8,7,1988,2005,1752,2,4,0,2,164000
11394,9,2,2010,2010,1856,1,1,1,3,394432
19138,4,5,1951,1951,864,1,2,0,2,141000
13175,6,6,1978,1988,2073,2,3,2,2,210000
11751,6,6,1977,1977,1844,2,3,1,2,190000
10625,7,6,1974,1974,1173,2,3,2,2,170000
7500,7,5,2000,2000,1674,2,3,0,2,216000
11241,6,7,1970,1970,1004,1,2,1,2,149000
12537,5,6,1971,2008,1078,1,3,1,2,149900
8450,5,6,1968,1968,1056,1,3,1,1,142000
8400,4,5,1970,1970,882,1,2,0,2,126000
10500,4,5,1971,1971,864,1,3,1,0,115000
5858,7,5,1999,1999,1337,2,2,1,2,184000
1680,6,5,1971,1971,987,1,2,0,1,96000
1680,5,5,1971,1971,1092,1,3,0,1,105500
1680,6,5,1971,1971,1092,1,3,0,1,88000
4043,6,5,1977,1977,1069,2,2,1,2,127500
2280,6,6,1975,1975,1456,2,3,1,2,149900
2280,7,6,1975,1975,836,1,2,0,1,120000
2280,6,5,1978,1978,1456,2,3,1,2,146000
12858,9,5,2009,2010,2334,2,3,1,3,376162
11478,8,5,2007,2008,1704,2,3,1,3,306000
10159,9,5,2009,2010,1940,2,3,1,3,395192
12883,8,5,2009,2010,1544,2,3,0,3,290941
12182,7,5,2005,2005,1541,2,3,1,2,220000
11520,9,5,2005,2005,1698,2,3,1,3,275000
14122,8,5,2005,2006,1822,2,3,1,3,259000
10171,7,5,2004,2004,1535,2,3,0,2,214000
12919,9,5,2009,2010,2364,2,2,2,3,611657
6371,7,5,2009,2010,1358,2,2,1,2,224000
14300,9,5,2003,2004,2696,2,3,2,3,500000
13650,8,5,2002,2002,2250,2,3,1,3,320000
7658,9,5,2005,2005,1752,2,2,1,2,319900
7132,8,5,2006,2006,1370,2,2,1,2,205000
2628,7,5,2003,2003,1626,2,2,0,2,175500
18494,6,5,2005,2005,1324,2,3,0,2,199500
3203,7,5,2006,2006,1145,2,2,0,2,160000
3182,8,5,2004,2005,1269,2,2,1,2,192000
13300,7,5,2004,2004,1374,2,3,1,2,184500
7851,6,5,2002,2002,1960,2,4,2,2,216500
8577,7,5,2004,2004,1733,2,3,1,2,185088
7750,7,5,2000,2000,1430,2,3,1,2,180000
9505,7,5,2001,2001,2035,2,3,1,2,222500
14774,9,5,1999,1999,2599,2,4,1,3,333168
17433,8,5,1998,1998,2475,2,4,1,3,355000
10593,7,5,1996,1996,1720,2,3,1,2,260400
12256,8,5,1994,1995,2622,2,3,2,2,325000
11764,8,7,1999,2007,2270,2,4,1,3,290000
16770,7,5,1998,1998,1839,2,4,0,2,221000
14720,8,5,1995,1996,3238,2,4,1,3,410000
8987,8,5,2005,2006,1595,2,2,1,3,221500
9215,7,5,2009,2010,1218,2,2,0,2,204500
8640,7,5,2009,2009,1547,2,3,0,2,215200
9000,8,5,2008,2008,1566,2,3,0,2,262500
12552,7,5,2004,2005,1947,2,3,1,2,254900
10440,6,5,2005,2005,1468,2,2,1,2,271500
10142,7,5,2004,2004,2084,2,4,0,2,233000
11920,7,5,2004,2004,1659,2,3,0,2,181000
8880,7,5,1994,2002,2110,2,3,2,2,205000
8012,6,5,1980,1980,923,2,2,1,1,143000
11218,6,5,1992,1992,1845,2,3,1,2,189000
7892,6,5,1979,1979,918,2,2,1,1,99500
7175,6,5,1984,1984,752,1,2,0,1,125000
9453,7,7,1993,2003,1744,2,3,0,2,194500
9672,6,5,1984,1985,1097,2,3,0,2,152000
8400,6,6,1980,1981,1564,2,3,1,2,171000
9800,5,5,1920,1950,1012,1,2,0,1,67500
8930,6,5,1978,1978,1902,2,4,0,2,112000
11782,5,7,1961,1995,1155,1,3,0,2,148000
8450,5,8,1965,2009,894,1,3,1,1,138500
9819,5,5,1967,1967,900,1,3,0,1,122000
7500,5,5,1963,1963,1040,1,3,0,1,133000
6897,5,8,1962,2010,1040,1,3,0,1,127000
15410,6,6,1974,2002,1494,2,3,2,2,169000
10186,7,5,1992,1992,1923,2,3,1,2,190000
13143,8,5,1993,1993,2349,2,4,1,3,362500
11134,8,5,1992,1993,2225,2,4,1,3,285000
4835,7,5,2004,2005,1488,2,2,1,2,260000
3515,7,5,2004,2004,1680,2,2,0,2,190000
3215,7,5,2004,2004,1200,2,2,0,2,155000
3182,7,5,2004,2005,1200,2,2,0,2,151000
2544,7,5,2004,2005,1200,2,2,0,2,149500
2544,6,5,2005,2005,1236,2,2,0,2,152000
4403,7,5,2009,2009,1478,2,2,1,2,222000
2117,6,5,2000,2000,1573,2,3,0,2,177500
2980,6,5,2000,2000,1512,2,2,0,2,177000
2572,7,5,1999,1999,1416,2,3,0,2,155000
2403,7,5,2003,2003,1080,2,2,0,2,147110
12853,8,5,2010,2010,1418,1,1,1,3,267916
7379,8,5,2000,2000,1848,2,3,1,2,254000
4420,8,5,1980,1980,788,1,1,1,2,155000
3880,8,6,1978,1978,1226,1,1,1,2,206000
13517,6,8,1976,2005,1479,2,3,0,2,130500
8000,7,5,2002,2002,1492,2,3,1,2,230000
10456,6,6,1967,1967,1829,2,4,0,2,218500
10791,6,5,1993,1993,2495,2,4,1,2,243500
10603,6,7,1977,2001,1610,2,3,2,2,205000
18837,6,5,1978,1978,1891,3,3,1,2,212500
10421,7,5,1988,1988,1714,2,3,1,2,196500
9360,6,7,1972,2006,1381,1,3,1,2,197500
9600,6,6,1971,1971,1645,1,4,0,2,171000
9600,5,5,1966,1966,1232,1,3,0,2,142250
9790,6,5,1963,1963,1328,1,3,2,2,143000
9320,4,5,1959,1959,1225,1,3,0,0,128950
9900,5,5,1966,1966,1209,1,3,0,2,159000
9680,5,6,1967,1967,1510,2,3,0,2,178900
10600,6,5,1964,1964,1775,2,3,0,2,136300
14112,5,7,1964,1964,1152,1,3,1,2,180500
8800,6,7,1963,1963,1054,1,3,0,2,137500
13260,5,6,1962,2001,1728,2,6,0,0,84900
9717,5,6,1950,1996,1078,1,2,0,1,142125
9724,5,7,1952,2002,2461,2,3,2,2,197600
17360,6,6,1949,1950,1556,2,3,1,2,172500
7207,5,7,1958,2008,858,1,2,0,0,116500
5350,3,2,1940,1966,1306,1,3,0,0,76500
9920,5,5,1954,1954,1063,1,3,0,1,128000
9600,6,6,1955,1972,1520,1,3,2,1,153000
7800,5,6,1954,1954,1268,1,2,1,1,132000
11380,6,8,1966,2008,1128,1,2,1,1,178000
11600,5,5,1960,1960,2274,2,5,0,2,154300
19900,7,5,1970,1989,2207,2,3,1,2,180000
16492,6,6,1966,2002,1888,2,2,1,2,190000
8267,5,5,1958,1958,1604,2,4,0,2,135000
8197,7,5,2003,2009,1480,2,3,0,2,214000
8050,5,5,1959,1959,1143,1,3,0,1,136000
10552,5,5,1959,1959,1700,1,4,1,2,165500
8400,5,6,1957,1957,1314,1,3,0,1,145000
8760,6,6,1959,1959,1194,1,3,0,1,148000
12160,5,5,1959,1959,1188,1,3,0,2,142000
9300,5,5,1960,1960,1264,1,3,2,2,167500
10725,5,5,1959,1959,1206,1,3,0,1,108538
10032,6,5,1959,1959,1580,1,3,2,2,159500
8382,4,5,1956,1956,1337,1,3,0,1,108000
10950,5,7,1952,1952,1064,1,2,0,1,135000
10895,5,6,1955,1955,972,1,3,0,1,122500
13587,5,5,1958,1958,988,1,2,0,1,119000
7922,5,7,1953,2007,1057,1,3,0,1,109000
7898,4,7,1920,1994,985,1,2,0,2,105000
7200,5,7,1955,2007,827,1,2,1,1,107500
10200,5,7,1954,2003,1086,1,3,0,2,144900
5868,5,7,1956,2000,936,1,2,0,1,129000
17503,6,5,1948,1950,1458,1,3,1,1,97500
6979,6,5,1980,1980,1056,0,0,0,2,144000
9830,5,7,1959,2006,1287,1,3,1,2,162000
11275,7,7,1967,2007,2978,2,5,1,2,242000
8064,6,8,1948,2004,1224,1,3,0,1,132000
7500,5,7,1959,1994,1246,1,3,0,1,154000
8520,5,4,1952,1952,1385,2,4,0,2,166000
7200,5,7,1951,2000,900,1,3,0,2,134800
10000,6,6,1962,1962,1116,1,3,0,2,160000
7635,5,6,1960,1960,1175,1,3,0,2,148000
9760,6,7,1963,1984,1395,1,2,1,2,192000
7700,6,5,1966,1966,1839,1,4,1,2,155000
4800,4,5,1900,1954,1844,1,3,2,1,80400
8800,4,7,1910,2004,1140,1,3,0,0,96500
4485,5,7,1920,1950,936,1,2,1,0,109500
8960,5,6,1927,1950,1028,1,2,1,2,115000
5805,5,7,1957,1957,1347,1,3,0,2,143000
5790,3,6,1915,1950,1605,2,3,0,1,107400
4608,4,6,1945,1950,747,1,2,0,1,80000
7200,5,7,1940,1992,804,1,2,2,1,119000
5500,5,7,1929,2001,1316,1,3,0,2,130000
6900,6,7,1938,2000,1251,1,3,0,1,119000
11851,5,7,1948,2009,1633,1,3,1,1,129000
8239,5,6,1920,1962,1245,1,3,0,1,100000
9656,2,2,1923,1970,832,1,2,1,2,12789
8520,6,8,1928,2003,720,1,2,0,2,105900
9600,8,9,1900,2003,1566,2,3,0,1,150000
10800,5,6,1915,1950,1652,2,4,0,1,139000
9000,8,9,1890,2002,2268,3,3,0,2,240000
9045,5,3,1910,1950,2256,2,4,0,0,76500
7407,6,7,1957,1996,1236,1,2,0,2,149700
7740,4,7,1910,1950,1363,1,3,0,2,125500
